Processor,Brand,Ram_GB,Rom_GB,Battery_Capacity,Display_Size(Inches),Display_Quality,Refresh_Rate,Rear_Camera_MP,Front_Camera_MP,Android,IOS,Version,Price
MediaTek,OnePlus,8,128,7100,6.77,AMOLED,120,50,16,1,0,15,22999
Snapdragon,vivo,8,128,6000,6.77,AMOLED,120,50,50,1,0,15,34999
MediaTek,realme,8,256,7000,6.78,AMOLED,120,50,32,1,0,15,39998
MediaTek,POCO,8,256,6550,6.67,AMOLED,120,50,20,1,0,15,23998
Samsung,Samsung,8,128,5000,6.7,AMOLED,120,50,12,1,0,15,38999
Samsung,Samsung,8,128,5000,6.6,AMOLED,120,50,13,1,0,14,20290
MediaTek,OPPO,1,256,6200,6.83,LCD,120,50,50,1,0,15,49999
Snapdragon,Samsung,1,256,5000,6.9,AMOLED,120,50,12,1,0,15,117999
Samsung,Samsung,6,128,6000,6.6,AMOLED,120,50,13,1,0,14,13999
Snapdragon,OnePlus,1,256,6000,6.78,AMOLED,120,50,16,1,0,15,42997
MediaTek,Infinix,8,128,5500,6.78,AMOLED,144,64,13,1,0,15,16220
Snapdragon,Motorola,8,128,5000,6.67,LCD,144,50,32,1,0,14,19270
MediaTek,OPPO,4,128,6000,6.67,LCD,120,50,8,1,0,15,11999
Snapdragon,Moto,8,128,5000,6.67,LCD,120,50,32,1,0,14,16199
Snapdragon,realme,8,128,6000,6.83,AMOLED,120,50,16,1,0,15,19999
Samsung,Samsung,8,128,5000,6.6,AMOLED,120,50,32,1,0,14,26999
MediaTek,iQOO,4,128,6000,6.74,LCD,90,50,5,1,0,15,9998
Snapdragon,iQOO,1,256,6000,6.82,AMOLED,144,50,32,1,0,15,54998
MediaTek,Xiaomi,6,128,5110,6.67,AMOLED,120,50,20,1,0,14,16999
Snapdragon,realme,8,128,6000,6.83,LCD,120,50,32,1,0,15,29999
Snapdragon,OnePlus,8,256,6800,6.83,AMOLED,144,50,50,1,0,15,31999
Snapdragon,OnePlus,8,128,5500,6.7,AMOLED,120,50,16,1,0,14,22998
MediaTek,vivo,8,128,5500,6.78,AMOLED,120,50,50,1,0,14,27999
Snapdragon,Samsung,1,256,5000,6.8,AMOLED,120,50,12,1,0,14,82490
MediaTek,Infinix,8,256,5500,6.78,AMOLED,144,108,13,1,0,15,25650
Samsung,Samsung,8,256,4000,6.2,AMOLED,120,50,12,1,0,14,52489
MediaTek,CMF,8,128,5000,6.77,AMOLED,120,50,16,1,0,15,17999
MediaTek,vivo,1,512,6000,6.78,AMOLED,120,200,32,1,0,15,87400
Snapdragon,Xiaomi,8,128,6200,6.67,AMOLED,120,50,20,1,0,14,29750
Snapdragon,Samsung,1,256,4000,6.2,AMOLED,120,50,12,1,0,15,92999
Snapdragon,Samsung,8,128,5000,6.7,AMOLED,120,50,12,1,0,15,30999
Snapdragon,Nothing,8,128,5000,6.77,AMOLED,120,50,50,1,0,15,27694
MediaTek,POCO,6,128,5110,6.67,AMOLED,120,50,20,1,0,14,12849
Snapdragon,Honor,8,256,6600,6.78,AMOLED,120,108,16,1,0,14,20748
MediaTek,Motorola,1,256,5500,6.67,LCD,120,50,50,1,0,15,25999
MediaTek,realme,8,128,6000,6.83,AMOLED,120,50,16,1,0,15,23999
MediaTek,POCO,8,128,5500,6.67,AMOLED,120,50,20,1,0,14,16499
Snapdragon,Moto,4,128,5000,6.5,LCD,120,50,16,1,0,14,10574
Snapdragon,Nothing,8,128,5000,6.77,AMOLED,120,50,32,1,0,15,23563
MediaTek,Tecno,6,128,5500,6.78,AMOLED,144,64,13,1,0,15,15999
MediaTek,OnePlus,8,128,7100,6.77,AMOLED,120,50,16,1,0,15,22999
Snapdragon,Motorola,8,256,5000,6.7,LCD,120,50,32,1,0,15,22939
MediaTek,vivo,4,128,6000,6.74,LCD,90,50,5,1,0,15,10560
MediaTek,Tecno,8,128,6000,6.78,AMOLED,144,64,13,1,0,15,18999
Snapdragon,realme,1,256,5800,6.78,AMOLED,120,50,16,1,0,15,48999
MediaTek,iQOO,8,128,5500,6.77,AMOLED,120,50,16,1,0,14,18998
Snapdragon,Xiaomi,8,256,4700,6.55,AMOLED,120,50,32,1,0,14,29999
Snapdragon,Xiaomi,6,128,5030,6.79,LCD,120,108,13,1,0,14,11798
Apple,Apple,8,128,3561,6.1,LCD,60,48,12,0,1,18,72900
MediaTek,vivo,8,128,5600,6.77,AMOLED,120,50,50,1,0,15,28999
Apple,Apple,8,256,4685,6.9,LCD,120,48,12,0,1,18,133900
MediaTek,Tecno,8,128,6000,6.78,LCD,144,50,13,1,0,15,14999
MediaTek,Samsung,4,128,5000,6.7,AMOLED,90,50,13,1,0,15,11499
Snapdragon,OnePlus,8,128,5500,6.67,AMOLED,120,50,16,1,0,14,17996
Snapdragon,vivo,8,128,5500,6.77,AMOLED,120,50,16,1,0,14,22999
Snapdragon,Samsung,8,128,5000,6.7,AMOLED,120,50,50,1,0,14,17799
Samsung,Samsung,8,128,5000,6.7,AMOLED,120,50,13,1,0,15,22399
MediaTek,vivo,8,256,5500,6.78,AMOLED,120,50,50,1,0,14,37340
MediaTek,Samsung,8,128,5000,6.7,AMOLED,90,50,13,1,0,14,17499
Google,Google,8,256,5100,6.3,LCD,120,48,13,1,0,15,49999
MediaTek,OPPO,8,128,6000,6.7,AMOLED,120,50,16,1,0,15,27998
MediaTek,OPPO,8,256,5000,6.7,AMOLED,120,50,32,1,0,14,22209
Apple,Apple,6,128,3349,6.1,LCD,60,48,12,0,1,17,57900
Snapdragon,realme,8,128,5500,6.78,AMOLED,120,50,32,1,0,14,27999
MediaTek,Xiaomi,8,128,5500,6.67,AMOLED,120,50,20,1,0,14,22999
MediaTek,vivo,4,128,5500,6.68,LCD,120,50,8,1,0,14,13999
Snapdragon,Honor,8,256,5200,6.7,AMOLED,120,50,50,1,0,14,21748
MediaTek,realme,6,128,6000,6.72,LCD,120,50,8,1,0,15,13999
MediaTek,vivo,1,256,5800,6.67,AMOLED,120,50,32,1,0,15,65999
Snapdragon,OPPO,8,128,6500,6.7,AMOLED,120,50,16,1,0,15,23998
MediaTek,vivo,8,128,5500,6.77,AMOLED,120,50,50,1,0,14,25999
Snapdragon,POCO,6,128,5160,6.88,LCD,120,50,8,1,0,14,9499
Snapdragon,realme,8,256,5500,6.78,AMOLED,120,50,32,1,0,14,30990
MediaTek,OPPO,8,128,5800,6.67,LCD,120,50,8,1,0,15,17998
Snapdragon,Xiaomi,8,128,5100,6.67,AMOLED,120,200,16,1,0,13,20990
MediaTek,Infinix,6,128,5500,6.67,LCD,120,50,8,1,0,15,11180
MediaTek,CMF,6,128,5000,6.67,AMOLED,120,50,16,1,0,14,15120
Samsung,Samsung,8,128,5000,6.7,AMOLED,120,50,12,1,0,15,27999
MediaTek,realme,8,256,7000,6.8,AMOLED,120,50,32,1,0,15,34998
MediaTek,realme,8,128,6000,6.7,LCD,120,50,16,1,0,15,18999
Snapdragon,Xiaomi,4,64,5160,6.88,LCD,120,50,8,1,0,14,9498
Snapdragon,vivo,8,128,6500,6.68,LCD,120,50,8,1,0,15,16999
MediaTek,OPPO,8,128,5600,6.59,AMOLED,120,50,50,1,0,15,35999
MediaTek,realme,8,128,6000,6.77,LCD,120,50,16,1,0,15,23980
Snapdragon,vivo,8,128,5000,6.67,AMOLED,120,50,32,1,0,14,20999
MediaTek,vivo,4,64,5500,6.74,LCD,90,13,5,1,0,15,10499
Samsung,Samsung,1,256,4900,6.7,AMOLED,120,50,12,1,0,14,99999
Snapdragon,OnePlus,8,128,5500,6.78,LCD,120,50,16,1,0,14,39999
Apple,Apple,4,128,3227,6.1,LCD,60,12,12,0,1,15,43900
Snapdragon,iQOO,4,128,6000,6.72,LCD,120,50,8,1,0,14,11999
Samsung,Samsung,8,128,5000,6.7,AMOLED,120,50,12,1,0,15,27999
MediaTek,Samsung,4,128,5000,6.7,LCD,90,50,8,1,0,15,9499
Snapdragon,Motorola,8,256,4500,6.7,LCD,144,50,50,1,0,14,29990
MediaTek,POCO,8,256,5000,6.67,AMOLED,120,64,16,1,0,14,19599
Snapdragon,realme,8,128,5200,6.7,LCD,120,50,32,1,0,14,18465
MediaTek,OPPO,8,128,5000,6.7,AMOLED,120,64,8,1,0,14,18749
Snapdragon,Xiaomi,1,512,5240,6.36,LCD,120,50,32,1,0,15,64998
Snapdragon,Samsung,1,256,3900,6.7,AMOLED,120,200,12,1,0,15,109999
Snapdragon,vivo,8,128,5500,6.78,AMOLED,120,50,50,1,0,14,35999
Snapdragon,Motorola,8,256,5000,6.7,LCD,120,50,32,1,0,14,22490
MediaTek,Nothing,8,256,5000,6.7,AMOLED,120,50,50,1,0,14,21710
MediaTek,vivo,8,128,5000,6.67,AMOLED,120,50,16,1,0,14,16999
Snapdragon,realme,8,256,5200,6.7,LCD,120,50,32,1,0,14,32999
Snapdragon,Samsung,8,128,5000,6.7,AMOLED,120,50,50,1,0,14,15910
MediaTek,OPPO,1,256,5800,6.83,AMOLED,120,50,50,1,0,15,49999
Snapdragon,Samsung,8,128,3900,6.1,AMOLED,120,50,12,1,0,13,48999
Apple,Apple,8,128,3961,6.1,LCD,60,48,12,0,1,18,50999
Snapdragon,OnePlus,1,256,5400,6.82,LCD,120,64,32,1,0,14,51997
MediaTek,Samsung,4,128,5000,6.7,AMOLED,90,50,13,1,0,14,12999
Snapdragon,Motorola,1,512,4500,6.7,LCD,144,64,50,1,0,14,45739
Snapdragon,POCO,8,256,5000,6.67,AMOLED,120,50,20,1,0,14,25990
MediaTek,Xiaomi,6,128,5000,6.67,AMOLED,120,108,16,1,0,13,15999
Snapdragon,Xiaomi,4,64,5160,6.88,LCD,120,50,5,1,0,14,7999
Google,Google,8,128,4492,6.1,LCD,120,64,13,1,0,14,37999
Apple,Apple,8,128,3582,6.3,LCD,120,48,12,0,1,18,110900
MediaTek,Moto,8,128,6000,6.5,LCD,120,50,16,1,0,14,14398
Snapdragon,POCO,4,64,5160,6.88,LCD,120,50,5,1,0,14,7689
Snapdragon,vivo,8,128,5000,6.78,AMOLED,120,50,50,1,0,14,29990
MediaTek,Lava,4,64,5000,6.74,LCD,120,50,5,1,0,15,7999
Snapdragon,Samsung,1,256,4400,8,AMOLED,120,200,10,1,0,16,174999
MediaTek,OPPO,1,256,5630,6.59,LCD,120,50,32,1,0,15,69999
Snapdragon,POCO,6,128,5030,6.79,LCD,120,108,13,1,0,14,10899
Snapdragon,Samsung,1,256,5000,6.8,AMOLED,120,10,12,1,0,13,72222
MediaTek,realme,4,128,6000,6.67,LCD,120,32,8,1,0,15,11973
Snapdragon,Honor,1,512,5200,6.78,LCD,120,50,50,1,0,14,36999
MediaTek,OPPO,1,256,5000,6.7,AMOLED,120,50,50,1,0,14,31500
MediaTek,OPPO,6,128,6000,6.67,LCD,120,50,8,1,0,15,15499
MediaTek,realme,6,128,6000,6.72,LCD,120,50,8,1,0,15,12998
Snapdragon,iQOO,1,256,5000,6.78,AMOLED,144,64,16,1,0,14,54990
MediaTek,Xiaomi,8,256,5000,6.67,AMOLED,120,200,16,1,0,13,24999
MediaTek,OPPO,1,512,5910,6.78,LCD,120,50,32,1,0,15,87999
MediaTek,Samsung,6,128,5000,6.7,LCD,90,50,8,1,0,15,8939
Snapdragon,vivo,4,128,6000,6.72,LCD,120,50,8,1,0,14,12499
MediaTek,Nothing,8,128,5000,6.7,AMOLED,120,50,32,1,0,14,22990
Snapdragon,realme,8,128,5200,6.7,LCD,120,50,32,1,0,14,19805
MediaTek,OPPO,6,128,5100,6.67,LCD,120,32,8,1,0,14,12618
Samsung,Samsung,8,128,4500,6.4,AMOLED,120,50,10,1,0,13,34999
MediaTek,OPPO,4,128,6000,6.67,LCD,120,32,5,1,0,15,12790
MediaTek,Acer,4,128,5000,6.8,LCD,120,64,13,1,0,15,9999
MediaTek,Lava,8,128,5000,6.78,AMOLED,120,50,16,1,0,14,16999
MediaTek,Samsung,4,128,6000,6.5,AMOLED,90,50,13,1,0,14,11975
Google,Google,1,256,4700,6.3,LCD,120,50,42,1,0,14,89999
MediaTek,Infinix,8,256,5000,6.78,AMOLED,120,108,32,1,0,14,18999
Snapdragon,OnePlus,8,128,5000,6.74,AMOLED,120,50,16,1,0,13,34999
Snapdragon,vivo,1,512,6000,8.03,AMOLED,120,50,20,1,0,15,149999
MediaTek,Samsung,4,64,5000,6.7,LCD,90,50,8,1,0,15,10499
Apple,Apple,6,128,3279,6.1,LCD,60,12,12,0,1,16,52999
MediaTek,realme,6,128,5000,6.67,AMOLED,120,50,16,1,0,14,13999
Google,Google,8,128,4385,6.1,LCD,90,64,13,1,0,13,27999
Snapdragon,Samsung,1,256,5000,6.8,AMOLED,120,10,40,1,0,12,62990
Snapdragon,OPPO,8,256,7000,6.67,AMOLED,120,50,16,1,0,15,19999
Apple,Apple,6,128,4383,6.7,LCD,60,48,12,0,1,17,72490
MediaTek,Infinix,4,128,5000,6.7,LCD,120,48,8,1,0,14,9945
Snapdragon,Samsung,1,256,4900,6.7,AMOLED,120,50,12,1,0,15,99999
Snapdragon,Motorola,1,512,4700,6.96,AMOLED,165,50,50,1,0,15,99998
Snapdragon,iQOO,8,256,5160,6.78,AMOLED,144,50,16,1,0,14,33999
Snapdragon,Samsung,8,128,5000,6.7,AMOLED,120,50,50,1,0,14,20990
Samsung,Samsung,8,128,4500,6.4,AMOLED,120,12,32,1,0,12,34999
MediaTek,vivo,8,256,5000,6.78,AMOLED,120,50,50,1,0,14,33999
Snapdragon,Moto,8,128,5000,6.5,LCD,120,50,16,1,0,14,12092
MediaTek,Tecno,6,128,5000,6.67,LCD,120,108,8,1,0,14,11999
MediaTek,OnePlus,8,128,5000,6.74,AMOLED,120,50,16,1,0,13,27999
MediaTek,realme,4,64,6000,6.67,LCD,120,32,8,1,0,15,10449
Snapdragon,OnePlus,8,128,5000,6.7,AMOLED,120,50,16,1,0,13,37999
Apple,Apple,8,128,4674,6.7,LCD,60,48,12,0,1,18,82900
Snapdragon,OnePlus,8,128,5000,6.7,AMOLED,120,50,16,1,0,13,16999
Snapdragon,OnePlus,8,128,5000,6.7,AMOLED,120,50,32,1,0,12,49999
MediaTek,vivo,8,256,6000,6.74,LCD,90,50,5,1,0,15,12999
MediaTek,realme,8,128,5000,6.72,LCD,120,50,16,1,0,14,14999
MediaTek,Lava,4,128,5000,6.67,AMOLED,120,64,16,1,0,14,11999
Snapdragon,realme,8,128,5200,6.7,LCD,120,50,32,1,0,14,20236
MediaTek,OPPO,8,128,5000,6.7,AMOLED,120,64,32,1,0,14,22400
MediaTek,vivo,1,256,5000,6.78,AMOLED,120,64,32,1,0,14,51799
Snapdragon,vivo,8,128,5500,6.78,AMOLED,120,50,50,1,0,14,25176
Snapdragon,vivo,8,128,4800,6.67,AMOLED,120,64,16,1,0,13,22499
